,Word,Count
0,THEFT,271160
1,ASSAULT,256653
2,VEHICLE,221627
3,UNDER,187158
4,BURGLARY,148761
5,PETTY,146508
6,SIMPLE,146461
7,FROM,141127
8,OVER,111468
9,STOLEN,99281
10,VANDALISM,95123
11,BATTERY,91691
12,WEAPON,82839
13,OF,78291
14,PLAIN,69087
15,INTIMATE,67971
16,PARTNER,67971
17,FELONY,66111
18,MOTOR,63772
19,AGGRAVATED,60597
20,GRAND,60418
21,ALL,56637
22,CHURCH,56637
23,VANDALISMS,56637
24,WITH,54641
25,IDENTITY,54203
26,DEADLY,49038
27,ROBBERY,45407
28,OR,41378
29,MISDEAMEANOR,38486
30,EXCPT,31329
31,GUNS,31329
32,FOWL,31329
33,LIVESTK,31329
34,PROD,31329
35,SHOPLIFTING,30342
36,CRIMINAL,24806
37,THREATS,23562
38,NO,23562
39,DISPLAYED,23562
40,ORDER,18732
41,VIOLATION,18729
42,LEWD,17469
43,AND,16251
44,ATTEMPTED,13044
45,TRESPASSING,12380
46,COURT,11275
47,OTHER,11015
48,RESTRAINING,10993
49,BRANDISH,10239
50,BIKE,10122
51,BUNCO,9913
52,DOCUMENT,9749
53,LETTERS,9509
54,CALLS,9509
55,FORGERY,9474
56,CHILD,8937
57,TELEPHONE,8300
58,CRIME,8014
59,MISCELLANEOUS,8003
60,PERSON,7843
61,SEXUAL,7744
62,CONTACT,6128
63,RAPE,5614
64,W,5430
65,FORCIBLE,5130
66,ABUSE,4750
67,PHYSICAL,4750
68,ATTEMPT,4244
69,EMBEZZLEMENT,3811
70,CONTEMPT,3536
71,POLICE,3417
72,PENETRATION,3227
73,SHOTS,3177
74,FIRED,3177
75,CRM,2675
76,AGNST,2675
77,CHLD,2675
78,SUSP,2675
79,YRS,2675
80,OLDER,2675
81,OBJECT,2462
82,AT,2205
83,SEX,2010
84,CONSENT,1889
85,FIREARMS,1865
86,ANNOYING,1844
87,17YRS,1844
88,DISCHARGE,1838
89,INDECENT,1774
90,EXPOSURE,1774
91,DISTURBING,1735
92,THE,1735
93,PEACE,1735
94,ARSON,1721
95,EXTORTION,1707
96,UNLAWFUL,1631
97,INC,1631
98,MUTUAL,1631
99,FRGN,1631
100,OBJ,1631
101,FOREIGN,1596
102,TO,1537
103,NEGLECT,1480
104,SEE,1480
105,I,1480
106,C,1480
107,RESISTING,1432
108,ARREST,1432
109,HOMICIDE,1244
110,THREATENING,1221
111,PHONE,1221
112,INHABITED,1143
113,DWELLING,1143
114,DEFRAUDING,1100
115,INNKEEPER,1100
116,SERVICES,1100
117,KIDNAPPING,1093
118,MOVING,1062
119,ON,987
120,TEMPORARY,973
121,ORAL,894
122,COPULATION,894
123,THROWING,866
124,UNAUTHORIZED,835
125,COMPUTER,835
126,ACCESS,835
127,OFFICER,785
128,STALKING,749
129,PICKPOCKET,746
130,SODOMY,723
131,B,723
132,PENIS,723
133,ONE,723
134,PERS,723
135,ANUS,723
136,OTH,723
137,CONDUCT,706
138,FALSE,628
139,FRAUD,590
140,BOMB,581
141,SCARE,581
142,ACTS,575
143,PEEPING,574
144,TOM,574
145,CREDIT,571
146,CARDS,571
147,USE,571
148,PURSE,558
149,SNATCHING,558
150,HUMAN,462
151,TRAFFICKING,462
152,IMPRISONMENT,451
153,STEALING,434
154,DRIVING,420
155,FAILURE,398
156,YIELD,394
157,PROWLER,391
158,CRUELTY,380
159,ANIMALS,380
160,COMMERCIAL,379
161,COUNTERFEIT,298
162,WORTHLESS,275
163,WITHOUT,258
164,OWNER,258
165,DWOC,258
166,A,246
167,ILLEGAL,241
168,DUMPING,237
169,DISHONEST,202
170,EMPLOYEE,202
171,FIREFIGHTER,202
172,COIN,199
173,MACHINE,199
174,TRAIN,198
175,AIRCRAFT,196
176,LASCIVIOUS,187
177,PORNOGRAPHY,187
178,PIMPING,184
179,PANDERING,181
180,REPORT,177
181,RECKLESS,162
182,BOAT,108
183,INVOLUNTARY,83
184,SERVITUDE,83
185,TILL,82
186,TAP,82
187,WEAPONS,75
188,POSSESSION,75
189,BOMBING,75
190,CONTRIBUTING,68
191,ABANDONMENT,55
192,DRUGS,36
193,MINOR,36
194,CONSPIRACY,30
195,LYNCHING,28
196,DRUNK,27
197,ROLL,27
198,REPLICA,21
199,SALE,21
200,DISPLAY,21
201,MANUFACTURE,21
202,DISTRIBUTE,21
203,INSURANCE,19
204,DISRUPT,17
205,SCHOOL,17
206,AUTO,15
207,REPAIR,15
208,PROPERTY,12
209,DAMAGE,12
210,BEASTIALITY,11
211,AGAINST,11
212,NATURE,11
213,ASSLT,11
214,ANIM,11
215,INCEST,9
216,BETWEEN,9
217,BLOOD,9
218,RELATIVES,9
219,INCITING,8
220,RIOT,8
221,BRIBERY,6
222,BIGAMY,5
223,DISPERSE,4
224,MANSLAUGHTER,4
225,NEGLIGENT,4
226,ABORTION,4
227,BLOCKING,3
228,DOOR,3
229,INDUCTION,3
230,CENTER,3
231,RO,3
232,WRECKING,2
233,TEMP,1
