segment,intersection,latA,lonA,latB,lonB
I-405A,118 and 405-10,34.266754,-118.471973,34.031486,-118.43354
I-405B,405-10 to 405-110,34.031486,-118.43354,33.856841,-118.284516
I-10A,SM with 5,34.012525,-118.49004,34.034222,-118.220703
I-10B,5 with 57 and 71,34.034222,-118.220703,34.065246,-117.806227
I-5A,Santa Clarita with 10,34.383485,-118.567749,34.055878,-118.21447
I-5B,5-10 with 5-405,34.055878,-118.21447,33.940859,-118.096494
SR-101,27 with 5,34.170929,-118.607122,34.02593,-118.207316
I-110A,Pasadena with 101,34.12741,-118.147248,34.062461,-118.249136
I-110B,101 with 105,34.062461,-118.249136,33.928002,-118.280571
I-105,"Western terminus of 105, Eastern terminus of 105",33.931515,-118.403837,33.914348,-118.101809
I-710,"Long Beach terminus, ",33.767494,118.207534,34.071867,-118.161248
I-605,Southern terminus of 605 to northern terminus of 605,33.781176,-118.091268,34.135640,-117.956827
I-210A,210 intersection with 5 to intersection with 710 (Pasadena),34.318743,-118.485391,34.151906,-118.156159
I-210B,210 intersection with 710 (Pasadena) to I-15,34.151258,-118.152323,34.136131,-117.497786
